(1228089600.0, 13.4)
(1228176000.0, 7.4)
(1228262400.0, 12.9)
(1228348800.0, 9.2)
(1228435200.0, 17.5)
(1228521600.0, 14.6)
(1228608000.0, 14.3)
(1228694400.0, 7.7)
(1228780800.0, 9.7)
(1228867200.0, 13.1)
(1228953600.0, 13.4)
(1229040000.0, 15.9)
(1229126400.0, 15.9)
(1229212800.0, 12.6)
(1229299200.0, 8.4)
(1229385600.0, 9.8)
(1229472000.0, 14.1)
(1229558400.0, 13.5)
(1229644800.0, 11.2)
(1229731200.0, 9.8)
(1229817600.0, 11.5)
(1229904000.0, 17.1)
(1229990400.0, 20.5)
(1230076800.0, 15.3)
(1230163200.0, 12.6)
(1230249600.0, 16.2)
(1230336000.0, 16.9)
(1230422400.0, 20.1)
(1230508800.0, 19.7)
(1230595200.0, 12.5)
(1230681600.0, 12.0)
(1230768000.0, 11.3)
(1230854400.0, 9.6)
(1230940800.0, 10.5)
(1231027200.0, 12.3)
(1231113600.0, 12.9)
(1231200000.0, 13.7)
(1231286400.0, 16.1)
(1231372800.0, 14.0)
(1231459200.0, 12.5)
(1231545600.0, 17.0)
(1231632000.0, 16.9)
(1231718400.0, 17.3)
(1231804800.0, 17.2)
(1231891200.0, 17.4)
(1231977600.0, 19.8)
(1232064000.0, 14.9)
(1232150400.0, 10.5)
(1232236800.0, 11.3)
(1232323200.0, 13.9)
(1232409600.0, 18.6)
(1232496000.0, 19.3)
(1232582400.0, 24.4)
(1232668800.0, 18.8)
(1232755200.0, 20.8)
(1232841600.0, 14.0)
(1232928000.0, 15.7)
(1233014400.0, 18.5)
(1233100800.0, 20.4)
(1233187200.0, 21.8)
(1233273600.0, 22.3)
(1233360000.0, 22.0)
(1233446400.0, 28.0)
(1233532800.0, 24.4)
(1233619200.0, 21.5)
(1233705600.0, 21.7)
(1233792000.0, 21.5)
(1233878400.0, 23.5)
(1233964800.0, 22.3)
(1234051200.0, 28.3)
(1234137600.0, 18.4)
(1234224000.0, 14.9)
(1234310400.0, 13.5)
(1234396800.0, 16.1)
(1234483200.0, 14.6)
(1234569600.0, 12.4)
(1234656000.0, 13.3)
(1234742400.0, 17.2)
(1234828800.0, 12.5)
(1234915200.0, 18.0)
(1235001600.0, 16.2)
(1235088000.0, 18.7)
(1235174400.0, 13.7)
(1235260800.0, 15.5)
(1235347200.0, 14.3)
(1235433600.0, 12.9)
(1235520000.0, 8.9)
(1235606400.0, 15.0)
(1235692800.0, 15.4)
(1235779200.0, 16.0)
(1235865600.0, 12.8)
(1235952000.0, 13.2)
(1236038400.0, 18.0)
(1236124800.0, 13.8)
(1236211200.0, 11.5)
(1236297600.0, 7.6)
(1236384000.0, 8.3)
(1236470400.0, 11.0)
(1236556800.0, 13.8)
(1236643200.0, 15.5)
(1236729600.0, 18.4)
(1236816000.0, 20.9)
(1236902400.0, 17.1)
(1236988800.0, 16.4)
(1237075200.0, 10.0)
(1237161600.0, 8.8)
(1237248000.0, 8.4)
(1237334400.0, 9.3)
(1237420800.0, 11.3)
(1237507200.0, 11.5)
(1237593600.0, 13.8)
(1237680000.0, 14.6)
(1237766400.0, 14.4)
(1237852800.0, 10.8)
(1237939200.0, 15.4)
(1238025600.0, 13.3)
(1238112000.0, 10.1)
(1238198400.0, 9.1)
(1238284800.0, 10.4)
(1238371200.0, 13.4)
(1238457600.0, 12.3)
(1238544000.0, 12.2)
(1238630400.0, 14.3)
(1238716800.0, 18.4)
(1238803200.0, 10.7)
(1238889600.0, 7.8)
(1238976000.0, 8.1)
(1239062400.0, 7.5)
(1239148800.0, 8.2)
(1239235200.0, 8.1)
(1239321600.0, 11.6)
(1239408000.0, 13.0)
(1239494400.0, 13.5)
(1239580800.0, 9.9)
(1239667200.0, 12.2)
(1239753600.0, 10.7)
(1239840000.0, 3.5)
(1239926400.0, 6.6)
(1240012800.0, 7.0)
(1240099200.0, 11.2)
(1240185600.0, 7.4)
(1240272000.0, 5.7)
(1240358400.0, 6.2)
(1240444800.0, 6.0)
(1240531200.0, 10.6)
(1240617600.0, 12.9)
(1240704000.0, 8.6)
(1240790400.0, 4.5)
(1240876800.0, 7.6)
(1240963200.0, 5.4)
(1241049600.0, 2.1)
(1241136000.0, 1.8)
(1241222400.0, 7.2)
(1241308800.0, 4.6)
(1241395200.0, 4.2)
(1241481600.0, 5.2)
(1241568000.0, 4.1)
(1241654400.0, 3.2)
(1241740800.0, 4.3)
(1241827200.0, 3.7)
(1241913600.0, 5.4)
(1242000000.0, 4.3)
(1242086400.0, 3.6)
(1242172800.0, 3.6)
(1242259200.0, 6.9)
(1242345600.0, 10.3)
(1242432000.0, 12.4)
(1242518400.0, 3.0)
(1242604800.0, 2.6)
(1242691200.0, 3.7)
(1242777600.0, 5.1)
(1242864000.0, 4.4)
(1242950400.0, 4.7)
(1243036800.0, 6.2)
(1243123200.0, 6.7)
(1243209600.0, 9.3)
(1243296000.0, 11.6)
(1243382400.0, 8.0)
(1243468800.0, 2.6)
(1243555200.0, 2.2)
(1243641600.0, 2.2)
(1243728000.0, 1.7)
(1243814400.0, 8.0)
(1243900800.0, 8.4)
(1243987200.0, 10.6)
(1244073600.0, 8.9)
(1244160000.0, 2.8)
(1244246400.0, 1.7)
(1244332800.0, 4.7)
(1244419200.0, 9.0)
(1244505600.0, 6.3)
(1244592000.0, 3.0)
(1244851200.0, 1.8)
(1244937600.0, 2.0)
(1245024000.0, 0.5)
(1245110400.0, 1.2)
(1245196800.0, 0.6)
(1245283200.0, 0.5)
(1245369600.0, 0.5)
(1245456000.0, 0.9)
(1245542400.0, 7.0)
(1245628800.0, 5.0)
(1245715200.0, 3.9)
(1245801600.0, 7.7)
(1245888000.0, 4.7)
(1245974400.0, 6.9)
(1246060800.0, 8.4)
(1246147200.0, 9.3)
(1246233600.0, 8.2)
(1246320000.0, 9.1)
(1246406400.0, 8.3)
(1246492800.0, 8.8)
(1246579200.0, 7.6)
(1246665600.0, 5.7)
(1246752000.0, 3.4)
(1247184000.0, 0.1)
(1247270400.0, 4.8)
(1247356800.0, 8.1)
(1247443200.0, 5.9)
(1247529600.0, 6.9)
(1247616000.0, 2.9)
(1247961600.0, 3.2)
(1248048000.0, 3.6)
(1248134400.0, 0.8)
(1248220800.0, 6.6)
(1248307200.0, 6.0)
(1248566400.0, 2.1)
(1248652800.0, 1.3)
(1248739200.0, 4.2)
(1248825600.0, 8.3)
(1248912000.0, 3.3)
(1248998400.0, 6.5)
(1249084800.0, 7.4)
(1249171200.0, 7.5)
(1249257600.0, 8.3)
(1249344000.0, 3.2)
(1249430400.0, 5.7)
(1249516800.0, 5.1)
(1249603200.0, 8.0)
(1249862400.0, 1.9)
(1249948800.0, 5.9)
(1250035200.0, 6.9)
(1250121600.0, 7.7)
(1250208000.0, 6.8)
(1250294400.0, 2.7)
(1250380800.0, 5.1)
(1250467200.0, 4.2)
(1250553600.0, 0.6)
(1250640000.0, 1.6)
(1250726400.0, 5.5)
(1250812800.0, 7.3)
(1250899200.0, 0.2)
(1250985600.0, 5.8)
(1251072000.0, 8.9)
(1251158400.0, 7.1)
(1251244800.0, 4.2)
(1251331200.0, 1.1)
(1251417600.0, 1.1)
(1251504000.0, 7.2)
(1251590400.0, 6.3)
(1251676800.0, 6.7)
(1251763200.0, 5.1)
(1251849600.0, 1.0)
(1251936000.0, 6.1)
(1252022400.0, 6.3)
(1252108800.0, 2.1)
